,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
804,3714,富采,"16,674,437","9,358","1,407,596,467",84.00,85.20,83.50,83.60,+,0.7,83.60,44,83.70,11,0.00
805,4104,佳醫,"298,159",271,"17,449,804",58.20,58.80,58.20,58.70,+,0.5,58.70,13,58.80,24,14.49
806,4106,雃博,"652,195",390,"17,897,058",27.25,27.60,27.20,27.60,+,0.55,27.50,15,27.60,12,26.54
807,4108,懷特,"1,103,524",626,"30,420,498",27.60,27.80,27.30,27.75,+,0.15,27.75,2,27.80,43,0.00
808,4119,旭富,"527,905",515,"49,356,801",94.30,94.50,92.90,93.10,-,1.2,93.10,7,93.30,1,20.55
809,4133,亞諾法,"1,647,447","1,071","90,165,351",54.80,55.20,54.20,54.30,+,0.2,54.30,12,54.40,19,90.50
810,4137,麗豐-KY,"497,285",442,"116,958,169",234.00,239.00,232.50,232.50,-,1.5,232.50,17,233.00,2,19.26
811,4141,龍燈-KY,"305,671",186,"3,759,805",12.25,12.40,12.20,12.40, ,0.0,12.40,3,12.45,8,0.00
812,4142,國光生,"13,789,562","7,752","800,072,031",57.30,59.00,57.10,57.60,+,0.9,57.50,257,57.60,98,19.93
813,4148,全宇生技-KY,"654,724",501,"27,459,947",40.80,43.00,40.65,42.00,+,2.8,41.95,6,42.00,6,32.81
814,4155,訊映,"530,878",291,"14,309,723",26.90,27.10,26.85,26.90,+,0.2,26.90,26,26.95,2,19.35
815,4164,承業醫,"261,057",176,"10,236,616",39.20,39.40,39.00,39.25,-,0.05,39.25,9,39.30,4,16.70
816,4190,佐登-KY,"435,340",295,"42,816,710",97.50,99.30,96.80,98.80,+,2.1,98.80,1,99.00,2,23.36
817,4306,炎洲,"3,935,774","1,389","63,268,322",16.15,16.25,15.90,16.20,+,0.2,16.15,99,16.20,139,10.59
818,4414,如興,"2,308,773",646,"23,626,437",10.35,10.35,10.10,10.25, ,0.0,10.25,37,10.30,228,0.00
819,4426,利勤,"363,968",256,"9,320,393",25.70,26.00,25.35,25.45,-,0.15,25.45,6,25.50,5,0.00
820,4438,廣越,"171,755",145,"22,697,512",133.50,133.50,130.00,132.00,-,1.0,131.50,1,132.00,1,25.38
821,4439,冠星-KY,"53,055",50,"8,356,100",160.00,160.00,156.00,156.50,-,4.0,156.00,4,156.50,5,11.79
822,4526,東台,"833,500",577,"13,243,899",15.90,16.05,15.65,15.95,+,0.1,15.90,14,15.95,30,0.00
823,4532,瑞智,"1,569,383",724,"35,567,229",22.90,22.90,22.50,22.65,+,0.05,22.65,5,22.70,43,16.06
824,4536,拓凱,"462,940",433,"82,029,649",180.00,181.50,175.00,177.50,-,4.0,177.00,13,177.50,3,23.73
825,4540,全球傳動,"1,272,855",766,"79,023,764",62.00,62.90,61.50,62.20,+,0.7,62.20,1,62.30,68,64.12
826,4545,銘鈺,"155,002",99,"4,632,908",29.45,30.10,29.45,29.95,+,0.55,29.90,8,29.95,1,76.79
827,4551,智伸科,"1,971,279","1,707","374,609,109",194.00,196.50,186.50,187.50,-,11.5,187.50,14,188.00,37,31.30
828,4552,力達-KY,"166,281",120,"5,892,138",35.40,35.70,35.40,35.40,-,0.15,35.40,1,35.50,6,15.95
829,4555,氣立,"376,111",287,"21,446,849",58.20,58.30,56.20,56.20,-,1.7,56.20,4,56.40,8,27.55
830,4557,永新-KY,"48,732",45,"3,181,885",65.60,66.00,65.00,65.10,-,0.9,65.10,10,65.30,2,18.03
831,4560,強信-KY,"148,200",75,"6,338,460",42.85,43.20,42.50,43.00,+,0.2,43.00,6,43.10,1,38.39
