,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1105,9927,泰銘,"284,045",186,"8,469,332",29.90,30.00,29.65,29.85,-,0.05,29.75,31,29.85,4,17.77
1106,9928,中視,"317,210",85,"1,936,324",5.80,6.23,5.80,6.23,+,0.56,6.23,14,--,0,0.00
1107,9929,秋雨,"111,945",54,"1,444,797",12.95,13.10,12.85,12.90,+,0.05,12.90,1,12.95,1,1.53
1108,9930,中聯資源,"151,562",135,"7,014,170",46.35,46.45,46.10,46.30,-,0.1,46.30,10,46.40,1,15.08
1109,9931,欣高,"1,001",2,"42,141",42.10,42.10,42.10,42.10, ,0.0,41.65,1,41.90,3,24.34
1110,9933,中鼎,"2,304,518","1,376","88,383,007",38.50,38.55,38.15,38.40,+,0.05,38.40,2,38.45,18,38.02
1111,9934,成霖,"1,065,944",229,"17,973,936",16.95,16.95,16.80,16.90,-,0.05,16.85,2,16.90,77,21.12
1112,9935,慶豐富,"484,125",293,"13,730,500",28.75,28.80,28.10,28.25,-,0.5,28.25,9,28.30,1,13.20
1113,9937,全國,"39,318",47,"1,954,349",49.70,49.75,49.70,49.70, ,0.0,49.70,1,49.75,3,19.34
1114,9938,百和,"1,594,252","1,224","134,581,891",84.80,85.20,83.60,84.60,+,1.4,84.60,7,84.70,2,16.24
1115,9939,宏全,"995,139",635,"69,572,154",69.70,70.70,69.40,69.50,-,0.1,69.50,18,69.60,3,12.09
1116,9940,信義,"623,978",388,"18,854,257",30.45,30.55,30.05,30.15,-,0.3,30.10,18,30.15,3,14.29
1117,9941,裕融,"968,730",927,"127,584,311",131.00,132.50,131.00,132.00,+,1.0,132.00,34,132.50,149,18.18
1118,9941A,裕融甲特,"25,454",15,"1,304,516",51.30,51.30,51.20,51.30, ,0.0,51.20,10,51.30,12,0.00
1119,9942,茂順,"2,911,368","2,084","291,686,704",96.00,105.00,94.30,105.00,+,9.5,105.00,95,--,0,22.63
1120,9943,好樂迪,"142,400",135,"9,470,314",66.40,66.80,66.30,66.80,+,0.4,66.70,7,66.80,11,15.15
1121,9944,新麗,"268,497",331,"5,440,992",20.30,20.40,20.05,20.05,-,0.3,20.05,2,20.20,5,29.06
1122,9945,潤泰新,"8,258,229","4,226","407,965,040",49.80,49.90,49.10,49.45,-,0.35,49.45,38,49.50,79,8.66
1123,9946,三發地產,"602,462",371,"10,222,931",17.05,17.15,16.85,16.90,+,0.25,16.90,31,17.00,54,29.65
1124,9955,佳龍,"263,313",214,"4,815,185",18.45,18.45,18.15,18.30,-,0.05,18.25,12,18.30,3,0.00
1125,9958,世紀鋼,"3,507,168","2,536","381,322,603",111.50,112.00,107.00,108.00,-,2.5,108.00,110,108.50,33,25.17
